"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"SMD-0603_c";2;"18p";;;
2;"U1";"sc70-6";1;"NC7WZU04P6";;;
3;"R1,R3,R5,R6,R7,R8";"SMD-0603_r";6;"1M";;;
4;"C3,C6";"SMD-0603_c";2;"1u";;;
5;"X1";"Crystal_HC49-SD_SMD";1;"16MHz";;;
6;"R2";"SMD-0603_r";1;"0R";;;
7;"R4,R9,R10,R11,R12";"SMD-0603_r";5;"R";;;
8;"C4,C5";"SMD-0603_c";2;"1n";;;
9;"P1";"Pin_Header_Straight_2x03";1;"CONN_01X06";;;
10;"Q1";"SOT-23-GDS";1;"MOSFET_P";;;
11;"D1,D2";"SOD-523";2;"DIODESCH";;;
12;"U2";"SOIC-14_W";1;"LM324";;;
